taskID,executorID,taskStartTime,taskFinishTime,serializeMilliSec,deserializeMilliSec
0,3,1408589905562,1408589910307,5,4320
4,6,1408589905576,1408589910365,1,4328
6,3,1408589910294,1408589910400,0,22
1,5,1408589905572,1408589910465,2,4208
7,6,1408589910361,1408589910514,0,15
5,2,1408589905577,1408589910515,6,4215
8,3,1408589910398,1408589910571,1,11
9,5,1408589910459,1408589910614,0,21
10,2,1408589910509,1408589910646,0,22
13,5,1408589910613,1408589910744,0,6
12,3,1408589910568,1408589910758,0,17
14,2,1408589910644,1408589910778,0,7
11,6,1408589910512,1408589910784,0,17
15,5,1408589910742,1408589910976,0,6
16,3,1408589910757,1408589910990,0,2
17,2,1408589910775,1408589911008,0,28
18,6,1408589910783,1408589911038,0,49
19,5,1408589910974,1408589911130,0,5
21,2,1408589911006,1408589911161,0,4
20,3,1408589910988,1408589911179,0,5
22,6,1408589911036,1408589911260,0,9
23,5,1408589911129,1408589911348,0,5
24,2,1408589911158,1408589911380,1,8
25,3,1408589911177,1408589911468,0,5
3,4,1408589905575,1408589911509,6,3311
27,5,1408589911347,1408589911575,0,18
2,1,1408589905573,1408589911586,1,3442
26,6,1408589911259,1408589911599,0,5
28,2,1408589911379,1408589911664,6,9
29,3,1408589911465,1408589911688,0,9
30,4,1408589911508,1408589911775,0,26
33,6,1408589911597,1408589911799,0,8
31,5,1408589911573,1408589911842,0,26
32,1,1408589911584,1408589911898,0,36
35,3,1408589911686,1408589912003,1,2
34,2,1408589911663,1408589912026,0,5
36,4,1408589911772,1408589912113,0,6
37,6,1408589911796,1408589912248,0,11
39,1,1408589911895,1408589912301,0,4
40,3,1408589911998,1408589912380,0,25
41,2,1408589912024,1408589912413,0,5
38,5,1408589911841,1408589912441,0,5
42,4,1408589912110,1408589912472,0,5
43,6,1408589912244,1408589912512,0,5
45,3,1408589912377,1408589912634,0,12
46,2,1408589912412,1408589912655,0,6
47,5,1408589912440,1408589912660,0,2
49,6,1408589912510,1408589912685,0,7
44,1,1408589912299,1408589912748,0,4
48,4,1408589912470,1408589912771,0,7
50,6,1408589912859,1408589913159,1,118
52,3,1408589912861,1408589913163,1,124
55,1,1408589912864,1408589913252,0,157
51,4,1408589912860,1408589913258,1,115
56,3,1408589913146,1408589913279,0,7
57,6,1408589913155,1408589913284,0,20
53,5,1408589912862,1408589913302,0,244
54,2,1408589912863,1408589913355,3,233
62,5,1408589913300,1408589913452,0,11
58,1,1408589913251,1408589913506,0,2
61,6,1408589913282,1408589913517,0,6
59,4,1408589913256,1408589913535,0,25
63,2,1408589913354,1408589913536,0,10
60,3,1408589913277,1408589913570,0,19
64,5,1408589913450,1408589913661,0,9
66,6,1408589913515,1408589913700,8,15
67,2,1408589913531,1408589913728,1,30
69,3,1408589913566,1408589913775,10,4
65,1,1408589913504,1408589913797,0,16
68,4,1408589913534,1408589913847,0,6
70,5,1408589913660,1408589913862,0,12
71,6,1408589913699,1408589913936,0,13
73,3,1408589913773,1408589913938,0,10
72,2,1408589913726,1408589913973,0,5
78,3,1408589913934,1408589914104,0,2
76,5,1408589913861,1408589914124,0,12
75,4,1408589913846,1408589914162,0,2
77,6,1408589913932,1408589914200,1,13
74,1,1408589913796,1408589914219,0,8
80,3,1408589914091,1408589914308,0,26
82,4,1408589914161,1408589914320,0,9
79,2,1408589913970,1408589914326,0,8
81,5,1408589914122,1408589914380,0,11
83,6,1408589914197,1408589914408,0,2
84,3,1408589914306,1408589914446,0,6
85,2,1408589914325,1408589914460,0,8
86,5,1408589914378,1408589914517,0,5
87,6,1408589914407,1408589914556,1,1
88,3,1408589914444,1408589914594,0,2
89,2,1408589914459,1408589914617,0,6
90,5,1408589914514,1408589914663,0,9
91,6,1408589914555,1408589914716,0,4
93,2,1408589914615,1408589914753,0,5
92,3,1408589914593,1408589914757,0,2
94,5,1408589914659,1408589914815,0,6
95,6,1408589914712,1408589914891,1,3
97,3,1408589914756,1408589914918,1,8
96,2,1408589914752,1408589914923,0,1
98,5,1408589914812,1408589914980,0,1
99,2,1408589914922,1408589915021,0,2
100,2,1408589915043,1408589916552,0,89
105,3,1408589915048,1408589916602,0,92
102,1,1408589915045,1408589916775,0,69
104,4,1408589915047,1408589916816,0,96
101,5,1408589915044,1408589917138,1,76
108,1,1408589916774,1408589917255,0,35
109,4,1408589916815,1408589917354,1,6
107,3,1408589916601,1408589917368,0,2
106,2,1408589916550,1408589917369,0,2
103,6,1408589915046,1408589917489,0,94
111,1,1408589917254,1408589917796,0,4
113,3,1408589917364,1408589918005,0,6
115,6,1408589917488,1408589918036,1,5
112,4,1408589917353,1408589918082,2,18
116,1,1408589917794,1408589918194,0,9
117,3,1408589918004,1408589918385,2,3
110,5,1408589917137,1408589918463,0,4
119,4,1408589918081,1408589918499,0,5
118,6,1408589918035,1408589918602,0,1
120,1,1408589918193,1408589918693,10,20
121,3,1408589918384,1408589918952,2,3
124,6,1408589918601,1408589919126,0,14
114,2,1408589917366,1408589919190,0,6
123,4,1408589918498,1408589919198,0,5
125,1,1408589918691,1408589919215,0,19
126,3,1408589918951,1408589919293,0,1
127,6,1408589919125,1408589919490,0,1
122,5,1408589918461,1408589919603,0,1
131,3,1408589919292,1408589919736,0,1
132,6,1408589919489,1408589919895,0,1
130,1,1408589919214,1408589919905,2,5
129,4,1408589919197,1408589919935,0,50
134,3,1408589919734,1408589919971,0,2
128,2,1408589919189,1408589920215,0,4
135,6,1408589919894,1408589920303,1,1
136,1,1408589919903,1408589920411,0,10
138,3,1408589919970,1408589920469,0,17
137,4,1408589919933,1408589920489,0,22
133,5,1408589919601,1408589920507,0,1
140,6,1408589920302,1408589920742,0,2
143,4,1408589920488,1408589920959,0,2
141,1,1408589920409,1408589920993,0,16
139,2,1408589920214,1408589921050,0,4
142,3,1408589920468,1408589921283,0,1
147,1,1408589920990,1408589921306,0,1
146,4,1408589920958,1408589921377,1,4
148,2,1408589921049,1408589921434,0,2
144,5,1408589920506,1408589921446,0,9
145,6,1408589920740,1408589921482,0,6
149,3,1408589921282,1408589921507,0,7
